name,review,rating,sentiment
"Boon Flair Seat Pad, Brown",I decided to buy the brown pad for the Flair chair because I've become lazy and didn't want to keep wiping the caca other kids would leave behind. Now the pooh is barely noticeable except for a distinctive smell which usually makes me laugh as I see kids parents trying to figure out where the smell is coming from.,4,1
"Rover Gear Tiburon Backless Booster Seat Bag, Black","Makes handling, carrying and airline checking a booster seat much easier.  Also doubled as a useful roomy beach bag for towels and such during our trip.  We had to drag two booster seats, so loading them into these bags, with a couple of other bulky items slid on top(wetsuits!) opened up space in our suitcases for the usual travel items.  We were able to check them as kiddy car seats, rather than luggage, which helped on the baggage allowance.",5,1
"Rover Gear Mclean Stroller Gate Check Bag, Black and Green","This travel stroller bag is wonderful!  Kept our Chicco Liteway stroller clean and safe on our last flights to and from Florida.  This will get lots of use over the years and is totally worth it.  Very well made and durable, quickly and easily stores away in the little stuff sack.  Some reviewers complained that airport personnel mistakenly sent their stroller to the luggage carousel instead of bringing it to the gate, but we had no problem.  ""GATE CHECK"" is written large on the side of the bag.",5,1
"Rover Gear Greenwich Travel Stroller Bag, Black","We bought this to gate-check our Maclaren stroller, it is very well padded and heavy duty.  If you have an expensive stroller it is a good investment to protect it if flying a few times, the cost per flight becomes negligible.  We didn't buy the Maclaren brand bag based on the reviews of it falling apart after one or two uses, and not being as well padded or made as this one.",5,1
"Rover Gear Chelsea Automobile Seat Back Protector, Black","This is a must have if you have young children!  Easy to install, covers nicely, and is not cheap or plastic looking like others on the market.  I would recommend this item to anyone wanting to keep their car seat backs clean!",5,1
Sassy A - Z Letter Links,"We love links in our house - fun by themselves or to attach other toys to highchairs and strollers. These are bright, colorful, and very sturdy. I do agree with some of the other reviews that a few of the letter's openings are larger than others and come apart too easily. Also not the best for teaching letters, but useful after letters are easily recognizable to the child.Overall, the regular oval links work better for linking, but these are still fun and I don't regret the purchase. My daughter loves to play with them, shake them around, and of course chew on them.",4,1
Sassy Mini Sports Rattle Developmental Toy,"My little one has played with this rattle ever since he could grasp it. Of course, right to the mouth. This rattle is not painted so I don't have to worry about any flaking. He is always excited to see it come out of the toy bag.",5,1
Sassy Mini Sports Rattle Developmental Toy,I have purchased this brand before and it is almost indestructable. It is the perfect gift for former soccer players for the new baby.,5,1
Sassy Vibrating Teether Developmental Toy,vibrates very easily compared to other vibrating teethers i have puchased. would have been cuter if the clear circles were different colors,4,1
"Athena Daphne, Kimberly Crib Changing Table Pad",The product came just as it looks.  Too bad the strap was not attached to the pad.  It came with nails and screws.  I am not going to mess up my dresser by screwing holes in it.,4,1
Sassy Hello Baby Phone Developmental Toy,It's a cute rattle for a great price.  I bought this for my newborn and it keeps her attention.  It's not annoying like other rattles.,4,1
"Kathe Kruse Organic 14&quot; Baby Cuddle Plush Toy, Dog","This has got to be the softest toy in the entire world. We received this as a gift from my mom for our son. I don't know if it is from being organic or what, but this is literally the softest toy I have ever felt. My son loves to cuddle with it and it goes everywhere with us. There is some sort of coarse material in the legs that gives it some weight (just enough) and the rest is filled with plush material.I'd recommend this for anyone. Even though it's a little on the expensive side, it is so well worth it. You've never, ever felt a stuffed toy this soft! When my son rubs his face on it, I never worry his skin is going to get scratched and irritated. Plus we have taken it everywhere with our son and it's been dropped, stepped on, kicked, thrown up on, etc. and every time my wife washes it, it comes back looking like brand new and always stays soft.",5,1
"Fisher-Price Precious Planet 2 in 1 Diaper Bag, Blue","The title for the review of this diaper bag kind of sums it up. Bought this bag for my daughter and her eyes lit up when she saw it. It is very colorful and fun and really does hold a lot of all that baby """"stuff"""". The bag is not so big as to hurt your shoulder. Highly recommend this one to any  mom who doesn't want to pack around everything but the kitchen sink! Lots of fun!",5,1
"HALO SleepSack 100% Wearable Blanket Applique, Elephant, Small",Keeps my son warm @ night & he isn't able to kick it off.  Light enough for summer with footed jammies underneath.  We keep the house at about 74 or 75ish at night.,5,1
"HALO SleepSack 100% Wearable Blanket Applique, Elephant, Small","These are the best wearable blankets. We've had another brand, but these are by far the best. They wash great and last forever. Love that they zip down so the zipper is by his feet and not his face. It keeps baby comfortable when he's little and then keeps little fingers from unzipping them when they're older!",5,1
